Chunk 	 RSQ
0	0.540350863857
1	0.489045642388
2	0.595199473867
3	0.540088802807

overall_gold_y	overall_pred_y	overall_adj
-0.257829	[-0.23968971]	comfortable
-1.25276	[-1.62286389]	low
-2.83321	[-1.00723529]	relative
-0.117783	[ 0.63155305]	impressive
0.693147	[-0.00131786]	big
-2.07944	[-1.29882836]	slight
-4.30407	[-2.01559305]	inadequate
0.34484	[ 0.51651275]	rich
-0.916291	[-1.54676819]	narrow
0.322773	[-0.0427559]	severe
-0.765468	[-0.55412936]	positive
-0.993252	[-0.45544645]	comfortable
0.287682	[-0.30544528]	sound
0.941609	[ 0.24411184]	serious
-1.60944	[ 0.11636132]	liberal
-0.0645385	[-0.23928827]	sound
0.679161	[ 0.27163273]	competitive
0.0618754	[ 0.17564654]	competitive
-0.438255	[-0.40303749]	conventional
-0.0606246	[-0.08222377]	reasonable
-2.23805	[-0.18813401]	healthy
0.549253	[ 0.2193867]	outstanding
0.693147	[ 0.38295937]	remarkable
0.321584	[ 0.07797962]	obvious
-3.4761	[-1.93890476]	inadequate
-0.517943	[-0.5776431]	appropriate
-0.882389	[-0.67568254]	regular
-0.174353	[ 0.02605772]	legitimate
-0.916291	[ 0.02812791]	rare
-0.0246926	[-0.45351219]	familiar
-0.473343	[-0.14109665]	firm
-0.826679	[-1.52758956]	light
-0.223144	[ 0.35973954]	clear
-1.48356	[-0.5036341]	traditional
0.320472	[ 0.26368868]	great
-0.916291	[-0.90169847]	relative
0.929536	[ 0.5665077]	big
0.397683	[-0.17270541]	crucial
-1.41099	[-1.67082667]	small
0.693147	[ 0.60530972]	powerful
-0.847298	[-1.63607681]	little
-0.693147	[-0.88255632]	acceptable
0.656008	[-1.13862526]	bearish
-4.2485	[ 0.57240427]	unusual
-0.305226	[-0.66713715]	bullish
2.22045e-16	[-0.14449799]	traditional
-0.0215062	[-0.45728615]	good
0.693147	[ 0.25019914]	dramatic
0.526093	[ 0.22493929]	serious
-0.390866	[ 0.05952442]	clear
-2.92674	[-1.57339263]	low
-0.339868	[-0.19314757]	healthy
0.489548	[-0.02664548]	large
1.47029	[-0.04028285]	rare
0.66989	[ 0.16440731]	major
0.693147	[-0.18105295]	high
-0.998529	[ 0.38043189]	clear
-1.28402	[-0.8345964]	regular
0.693147	[ 0.04200363]	great
0.162519	[-0.2177676]	good
-0.652325	[-0.23949534]	solid
-5.70378	[-2.03920984]	poor
-1.03236	[-0.23536015]	legitimate
-0.820981	[-0.70396519]	adequate
-0.528067	[-1.09842765]	normal
-1.113	[-1.66572595]	light
-1.79176	[-0.62817448]	positive
-1.04982	[-0.91367006]	ordinary
-2.36712	[-1.88385677]	small
-0.360003	[ 0.34231055]	fundamental
0.693147	[-0.00326467]	good
0.287682	[ 0.39803874]	unexpected
0.470004	[ 0.17092121]	sizable
2.22045e-16	[ 0.19264042]	important
0.296732	[ 0.0082804]	severe
-0.641854	[-0.84123629]	stable
-0.788457	[-0.46706665]	appropriate
0.693147	[ 0.34153068]	big
0.456758	[ 0.46470773]	competitive
-0.606136	[-0.40659681]	usual
0.757686	[ 0.30670357]	generous
-1.41982	[-1.43052173]	conservative
0.195745	[ 0.15307969]	steep
-0.262364	[-0.00220799]	favorable
0.624154	[-0.21267259]	liberal
-0.223144	[-0.40990311]	positive
-0.523248	[-1.17759526]	relative
-0.503104	[-1.0547241]	relative
-0.228259	[-0.20631871]	legitimate
0.92722	[ 0.01388061]	unusual
0.59916	[ 0.13461483]	surprising
-1.26369	[-1.83008111]	light
0.693147	[ 0.33668196]	unusual
0.449525	[-0.00632417]	solid
-0.262364	[-0.33232427]	conventional
-0.949081	[-0.45849162]	appropriate
1.04282	[ 0.08293653]	unusual
0.422272	[ 0.07033437]	high
-0.916291	[-0.40106028]	familiar
-0.722852	[-0.66900462]	familiar
0.523248	[ 0.42514181]	striking
-2.67415	[-0.91015345]	modest
0.652325	[-0.28933311]	comfortable
0.328925	[ 0.02072978]	intense
-0.500775	[ 0.45207763]	broad
-0.0800427	[ 0.60855031]	prominent
0.328504	[-0.00285649]	nice
2.22045e-16	[-1.30578935]	tight
0.141079	[-0.0871343]	healthy
0.791993	[ 0.10791892]	extensive
0.675129	[ 0.251436]	striking
-0.916291	[-0.43417093]	positive
-3.63759	[-1.71094298]	disappointing
-0.081493	[-1.07079518]	regular
0.279696	[-0.04627675]	clear
0.074108	[ 0.43220413]	generous
0.930621	[ 0.12495828]	extraordinary
0.282232	[ 0.24371576]	aggressive
0.896746	[ 0.52787244]	outstanding
-1.0116	[-1.63934469]	tight
0.0705302	[-0.07514179]	nice
-1.28093	[ 0.20127773]	competitive
-1.38629	[-0.98441434]	relative
0.194327	[ 0.4288944]	impressive
0.510826	[ 0.55386901]	substantial
0.14842	[-0.10515332]	liberal
0.213574	[-0.05150843]	liberal
-2.75154	[-0.74713075]	usual
-2.00373	[-2.13758802]	tiny
0.693147	[ 0.36815488]	high
-1.89085	[-1.79742873]	poor
0.451985	[ 0.50901067]	rich
-2.99573	[-1.95827234]	small
-1.0033	[-0.50887191]	bullish
-0.300105	[-0.18053401]	liberal
-2.89037	[-1.73476124]	small
0.232332	[ 0.34767807]	broad
0.712565	[ 0.40413809]	considerable
-1.20397	[-1.70622432]	minor
-1.66771	[-1.66549742]	low
-3.157	[-2.18608284]	poor
0.669617	[ 0.20478314]	rare
-0.0479395	[-0.2247079]	sizable
0.680244	[ 0.15030074]	steep
-1.06784	[-1.73385203]	weak
-0.389465	[-0.19570726]	favorable
-0.606136	[-1.06626129]	normal
-0.341749	[ 0.1954782]	clear
-2.18324	[-0.56742251]	fine
-1.75002	[-0.86957026]	modest
0.287682	[-0.37180513]	bullish
-2.94444	[ 0.19023013]	important
-1.04982	[-1.25914145]	normal
-2.56495	[-1.56530118]	disappointing
-2.07944	[-0.22320509]	positive
0.693147	[ 0.40705049]	dramatic
-1.35239	[-0.31897247]	traditional
0.640037	[ 0.01270568]	favorable
-0.405465	[ 0.05193436]	critical
-1.1314	[-1.66421187]	weak
-1.59263	[-1.74395478]	slight
-0.817445	[-0.89970994]	familiar
0.664976	[ 0.28369653]	high
-0.57145	[-0.8661691]	ordinary
0.628609	[ 0.21134764]	severe
0.693147	[ 0.69353855]	extraordinary
-0.957534	[-1.67192519]	slight
0.435318	[-0.37657329]	positive
-0.628609	[-0.27783126]	firm
0.336472	[ 0.14854038]	extensive
-0.470004	[-0.8634212]	relative
-0.0953102	[-1.40367806]	tight
-1.49664	[-1.74062526]	small
-3.16758	[-1.65711796]	tiny
-0.905117	[-1.75196445]	tight
0.11626	[-0.61933011]	fine
0.93882	[-0.09362161]	sizable
0.999672	[ 0.05403274]	surprising
0.587787	[ 0.08356452]	striking
-1.90954	[-1.55890894]	slight
-1.17007	[-0.9250648]	bearish
-1.39872	[-0.67525589]	usual
-1.89712	[-1.80244589]	low
0.356675	[ 0.14752007]	extraordinary
0.645519	[ 0.18723035]	generous
-0.35364	[-0.13477778]	wide
0.429333	[-0.08664578]	high
-3.55535	[-1.64221895]	poor
0.211309	[ 0.36810791]	strong
-0.934309	[-1.67462683]	narrow
0.798508	[-0.32851467]	comfortable
0.546544	[ 0.19613028]	competitive
-1.32176	[-0.79925114]	regular
0.519875	[-0.21442446]	high
-1.38629	[-0.59215498]	comfortable
-0.0377403	[ 0.15384603]	large
0.818835	[-0.02442831]	rare
0.336472	[ 0.33810973]	sharp
-1.76359	[-1.86580646]	little
2.22045e-16	[-0.18856272]	good
0.441833	[ 0.38477504]	intense
0.287682	[ 0.06364471]	favorable
0.0645385	[ 0.25258499]	sizable
0.693147	[ 0.2637763]	broad
-1.02752	[-0.62849271]	conventional
-1.97408	[ 0.07677245]	favorable
0.538997	[ 0.40010071]	serious
1.08091	[ 0.1548115]	excessive
0.661398	[ 0.47628868]	huge
0.0680535	[ 0.2587561]	prominent
-2.28238	[-2.10741997]	small
-0.0689929	[-0.00449586]	good
-2.99573	[-1.03634334]	normal
0.405465	[ 0.14394522]	vital
0.298493	[-0.95000482]	ordinary
0.961411	[ 0.30920219]	excessive
-2.14658	[-1.49931169]	conservative
0.187862	[ 0.33745396]	impressive
-0.62253	[-0.27723244]	reasonable
0.536801	[ 0.15368462]	sharp
-0.223144	[ 0.4158318]	solid
0.186586	[-0.10799831]	liberal
0.412845	[ 0.14526796]	surprising
0.532805	[-0.28909779]	conventional
0.563469	[ 0.09537911]	major
0.502793	[-0.57911795]	sound
-0.606136	[-0.62067068]	conventional
0.635989	[-0.02711535]	severe
-0.133531	[-0.12229818]	liberal
0.634307	[ 0.41070092]	impressive
0.711839	[ 0.36493015]	significant
1.08956	[-0.12031889]	rare
0.693147	[ 0.2381711]	strong
-1.8718	[-1.59468889]	slight
0.301105	[-0.23463288]	obvious
-0.127833	[-0.86733568]	relative
0.684015	[ 0.54303586]	radical
-0.439367	[ 0.16448355]	large
2.22045e-16	[ 0.0642643]	firm
0.157629	[-1.21872628]	likely
-0.916291	[-0.32444298]	reasonable
0.708896	[-0.21770886]	obvious
0.544727	[ 0.3644731]	striking
-1.43075	[-1.8318547]	slight
0.367725	[ 0.59420943]	significant
0.182322	[-0.94220102]	bearish
-1.70475	[-1.54258573]	weak
0.360441	[-0.49966291]	moderate
0.58103	[-0.11856651]	critical
2.22045e-16	[-0.92118812]	normal
-1.0116	[-0.20380056]	crucial
0.98604	[-0.01770729]	severe
-1.40691	[-0.6759584]	usual
0.424883	[ 0.51016843]	great
-3.31419	[-1.98531115]	thin
-1.7346	[-1.94664168]	tiny
0.442853	[-0.84726667]	typical
-1.60944	[-1.61460292]	small
0.964022	[ 0.21001834]	broad
-0.117783	[-0.1605078]	sound
-0.441833	[-0.40738142]	reasonable
-0.901902	[-0.18073672]	reasonable
0.395896	[ 0.67725432]	considerable
-3.3322	[-1.67625487]	low
1.17272	[ 0.32787871]	rare
0.603916	[ 0.34923756]	powerful
-0.616774	[ 0.19450366]	grand
-0.916291	[ 0.28978527]	vital
-1.77495	[-1.68095934]	slight
0.449917	[-0.06378305]	high
0.182322	[ 0.47745335]	wide
-5.45959	[-1.76177943]	disappointing
0.365934	[ 0.32563901]	great
0.233615	[ 0.2399078]	great
0.693147	[ 0.53232896]	considerable
0.261365	[ 0.22136497]	powerful
0.223144	[ 0.42930639]	large
-1.50408	[-0.60142779]	routine
-0.559616	[ 0.39288056]	promising
-1.83258	[-1.71319771]	minor
-1.70475	[-1.85737789]	tight
0.559616	[ 0.31088436]	hefty
-3.07961	[-1.91429102]	small
-0.0540672	[ 0.38621414]	clear
0.693147	[ 0.03522116]	firm
0.358778	[ 0.1074183]	major
-1.65823	[-0.27976906]	favorable
0.744972	[ 0.1837368]	broad
0.492476	[ 0.27456701]	crucial
0.456758	[ 0.11513412]	great
-3.21888	[-1.71256149]	weak
-0.459532	[-0.58097911]	usual
0.368651	[-0.39170805]	bullish
-1.81529	[-1.4874568]	conservative
-1.60944	[-0.54799592]	familiar
-1.82455	[-1.66334963]	little
-0.100742	[-0.01722711]	good
0.360441	[ 0.21457803]	important
-1.15268	[-0.38014871]	typical
-0.872488	[-0.38607019]	bullish
-0.896088	[-0.58115172]	typical
-1.60944	[-0.65953934]	regular
-0.986495	[-1.06171584]	regular
-4.38203	[-1.94202542]	poor
0.445838	[ 0.13508087]	rich
-0.829279	[-0.32769185]	traditional
0.961729	[ 0.02870852]	severe
0.401795	[ 0.07007319]	sharp
0.716404	[ 0.15651739]	unusual
-3.88156	[-2.26578951]	tiny
-1.48808	[-1.86949563]	light
0.305382	[-0.45955601]	sound
0.384846	[-0.00985461]	broad
-1.25276	[-0.6045379]	familiar
-2.35138	[-1.65388596]	little
-0.864997	[-0.44958681]	usual
-2.12525	[-1.89938116]	narrow
0.693147	[ 0.5416826]	dramatic
0.723	[ 0.1073947]	remarkable
0.791128	[ 0.02996027]	critical
-1.53148	[-0.80409241]	typical
-3.157	[-1.78445029]	narrow
-2.30259	[-1.6958456]	tiny
-1.60944	[-1.6859895]	weak
0.597837	[ 0.65991116]	striking
0.186877	[-1.04860413]	stable
-0.198851	[-0.94837439]	regular
-3.8712	[-0.86856341]	likely
-1.16315	[-0.03381419]	obvious
0.745107	[ 0.31660002]	striking
-1.09861	[-0.73102027]	routine
-0.0674413	[ 0.05022907]	dramatic
0.587787	[-0.17833704]	positive
0.287682	[-0.25337338]	positive
0.209721	[-0.10421753]	firm
-0.832909	[-0.30277151]	reasonable
0.0289875	[-0.16926205]	vital
0.295789	[-0.83110631]	bearish
0.287682	[-0.42719713]	adequate
-1.30341	[-1.19658661]	stable
-2.65089	[-1.60365045]	inadequate
-1.7346	[-1.26799178]	low
0.405465	[ 0.34292817]	significant
0.267479	[-0.29912755]	nice
-0.95784	[-1.30520487]	stable
-2.97041	[-1.80295587]	slight
-0.223144	[-0.8627795]	likely
0.538997	[-0.49116123]	adequate
0.269333	[ 0.11134875]	steep
-0.0571584	[ 0.3583014]	rich
-0.408919	[ 0.15585947]	deep
-3.17805	[-1.72960758]	low
0.453197	[ 0.08793688]	serious
-1.43848	[-0.4424628]	traditional
0.31178	[-0.04846358]	promising
-3.06805	[-1.8072629]	low
-0.192372	[ 0.05606103]	prominent
-0.0796313	[-0.48800933]	comfortable
-1.60944	[-1.80783951]	small
-0.65678	[-0.12853968]	sound
1.18958	[ 0.33642137]	steep
0.356675	[ 0.20583844]	deep
1.06784	[ 0.43530345]	outstanding
-1.981	[-0.87896359]	familiar
-3.17805	[-1.93196702]	poor
0.387766	[ 0.44133329]	dramatic
-0.491408	[ 0.22829127]	great
-0.574541	[-0.55212605]	familiar
0.339507	[ 0.44062757]	powerful
0.287682	[ 0.42075908]	large
-4.66579	[-1.96666515]	narrow
-0.182322	[ 0.05218554]	significant
-2.16496	[-1.40188265]	sensitive
-3.66356	[-1.79939997]	inadequate
0.550046	[ 0.08819962]	vital
0.388432	[ 0.04857767]	broad
0.426879	[-0.44936529]	appropriate
0.396881	[ 0.04486024]	obvious
0.967584	[ 0.01889133]	crucial
-1.38629	[-0.96296889]	likely
-1.36828	[-1.84055376]	minor
0.510826	[ 0.05471528]	liberal
-1.5449	[-0.87889051]	typical
0.405465	[-0.43069911]	routine
0.709111	[ 0.21366471]	excessive
-2.52573	[-0.63554305]	fair
0.20174	[-0.09413809]	sizable
-0.418204	[-0.43082505]	conventional
-1.8718	[-0.55076516]	modest
0.529996	[ 0.23314333]	considerable
0.251314	[ 0.19289219]	powerful
0.0210534	[ 0.00417572]	healthy
0.287682	[ 0.69895959]	intense
0.278203	[ 0.37109554]	strong
0.510826	[-0.37381545]	bullish
0.559616	[ 0.21658677]	crucial
-0.82198	[-0.94471669]	adequate
0.0571584	[-0.41299525]	bullish
-1.09861	[-1.57312238]	small
0.693147	[-0.16445184]	promising
0.1949	[-1.43176043]	normal
-0.236389	[-0.05819649]	firm
-0.693147	[-0.97339094]	conservative
0.389465	[ 0.14774978]	big
0.704447	[ 0.16947383]	substantial
0.318454	[ 0.28821081]	surprising
0.405465	[ 0.44546711]	radical
-1.60944	[-1.46524203]	little
0.611802	[ 0.304317]	dramatic
0.507045	[ 0.02549481]	severe
0.04652	[-1.0887953]	normal
-0.0387145	[ 0.09659582]	deep
-0.219054	[-1.0728302]	stable
-3.78166	[-0.95025527]	ordinary
-0.353505	[ 0.13583755]	important
-0.646627	[-1.05357289]	relative
-0.0800427	[ 0.42041862]	clear
-0.04652	[-0.67332041]	adequate
0.328504	[ 0.24538243]	sharp
0.693147	[ 0.2762866]	high
-0.536801	[-1.82445848]	tight
0.0822381	[ 0.11263585]	healthy
0.89276	[ 0.02039492]	major
-1.1987	[-1.1627686]	likely
-1.09861	[-0.80527574]	modest
0.470004	[-0.65522575]	routine
0.138836	[ 0.14691305]	rich
0.287682	[ 0.26154351]	legitimate
-1.74047	[-1.93884742]	tiny
0.223144	[ 0.29197276]	serious
-1.79176	[-1.86294591]	thin
-0.159065	[-0.05562508]	favorable
0.701731	[ 0.39058876]	aggressive
0.361013	[-0.0167948]	crucial
0.435318	[-0.35203403]	reasonable
0.693147	[ 0.10630465]	liberal
0.072949	[ 0.16418755]	fundamental
0.693147	[ 0.11350042]	vital
0.682995	[-0.03826261]	substantial
2.22045e-16	[-0.02273965]	bullish
0.607205	[-0.12796754]	vital
-1.17007	[-0.87429345]	likely
-0.328504	[ 0.32502031]	surprising
-0.326328	[-0.41421932]	positive
-0.864997	[-1.04897225]	acceptable
0.0187701	[-0.20186663]	vital
-0.606136	[-1.40093911]	tight
-0.382992	[ 0.29014343]	prominent
0.77319	[-0.04091859]	high
-0.194156	[ 0.22275287]	surprising
-1.14513	[-0.61774868]	usual
-0.664976	[-1.08724952]	acceptable
0.263585	[ 0.26683056]	huge
-0.559616	[-0.8631655]	likely
-0.438255	[-1.01168311]	fair
0.621688	[ 0.61038482]	remarkable
1.87278	[ 0.26780236]	outstanding
0.432421	[-0.34078878]	obvious
0.693147	[ 0.44710898]	surprising
-0.133531	[ 0.16516554]	clear
0.112117	[ 0.19285375]	extensive
0.660141	[ 0.17602712]	great
-0.182322	[ 0.12432182]	high
-0.741937	[-0.51368135]	adequate
0.85745	[ 0.40827692]	sharp
-2.12525	[-1.73881066]	tight
0.650588	[ 0.46674752]	sharp
0.434664	[ 0.42377138]	powerful
0.289466	[-0.19791001]	firm
-3.80666	[-2.12106276]	weak
-1.17866	[-0.04317719]	solid
0.34484	[ 0.13187957]	important
1.39666	[ 0.4866302]	outstanding
0.926762	[-0.13156211]	critical
-3.91202	[-1.94627118]	inadequate
-1.19392	[-1.54719031]	small
0.454736	[-0.72038376]	bearish
-1.02165	[-1.2839483]	normal
-0.81831	[-0.05333757]	good
-1.38629	[-1.53282022]	tight
0.294239	[-0.0699423]	serious
-1.60944	[-1.65191746]	poor
-1.17866	[-0.62188649]	bearish
0.442224	[ 0.03782791]	grand
-0.577315	[-1.81920493]	tight
1.51146	[ 0.67167437]	outstanding
-1.09861	[-1.58496571]	poor
-4.49981	[-2.03191853]	disappointing
-1.60944	[-1.25242901]	sensitive
-1.38629	[-0.17927432]	conventional
0.378654	[ 0.45094788]	huge
0.133531	[ 0.30705941]	large
-0.182322	[-1.31517935]	acceptable
-0.0198026	[-0.06007636]	firm
-0.209721	[-0.88634264]	stable
-2.57769	[-2.0521245]	tiny
0.334513	[ 0.15782523]	competitive
0.394166	[-0.09536684]	high
0.105361	[ 0.4104892]	strong
0.693147	[ 0.29343843]	extraordinary
0.168623	[ 0.14973891]	competitive
0.0392207	[ 0.33703816]	significant
0.0202027	[-0.21166945]	solid
0.336472	[-0.0725345]	good
1.09861	[ 0.54377329]	considerable
0.559616	[ 0.19287515]	high
1.22378	[ 0.64123571]	extensive
-0.348307	[-0.78764176]	fair
0.693147	[ 0.65608776]	remarkable
0.287682	[ 0.17881054]	vital
0.977776	[ 0.31330431]	great
-0.251314	[-0.54601187]	fine
-0.212561	[ 0.04059458]	liberal
-0.0856137	[ 0.38617349]	fundamental
-0.670158	[-0.1383276]	reasonable
-1.19942	[-0.5790931]	traditional
-3.85015	[-1.925421]	weak
0.635989	[-0.00605673]	generous
0.78552	[ 0.30623925]	generous
-1.60944	[-1.68045115]	low
0.0526437	[-0.50708115]	appropriate
-0.405465	[-1.18252909]	conservative
0.0625204	[ 0.24576151]	clear
0.680075	[-0.13480926]	high
-0.882389	[-0.79373747]	likely
0.354373	[ 0.12440675]	considerable
0.510826	[-0.41733503]	ordinary
0.295117	[-0.06502968]	legitimate
0.382992	[ 0.13865101]	surprising
-0.693147	[-0.11794782]	important
-0.587787	[ 0.00691825]	crucial
-0.949081	[-1.70161581]	small
0.407265	[ 0.46832705]	hefty
-0.796944	[-0.12314177]	promising
-0.144581	[-0.08628368]	solid
-0.405465	[-0.95142531]	relative
1.50408	[ 0.56739664]	remarkable
-0.459532	[ 0.09041721]	fundamental
2.22045e-16	[-0.47911942]	fair
0.648695	[ 0.05414587]	steep
-0.648027	[-1.91056848]	little
-1.38629	[-1.54304838]	weak
-2.99573	[-1.85719168]	disappointing
-0.650588	[-0.70591933]	modest
0.236389	[ 0.48654711]	deep
-1.67398	[-0.41341612]	fine
0.693147	[ 0.36855447]	powerful
-0.306167	[-1.25252032]	likely
0.284104	[ 0.28713238]	impressive
0.182322	[ 0.29092622]	huge
0.606136	[ 0.13524139]	solid
-4.34381	[-2.00265169]	tiny
-1.41369	[-2.03000879]	thin
0.0787809	[-0.03353143]	surprising
-0.741937	[-0.30622971]	moderate
0.0870114	[ 0.12773991]	good
2.22045e-16	[-0.65078241]	modest
0.405465	[ 0.47520578]	extensive
-1.12938	[ 0.03468555]	fundamental
-1.81916	[-1.61149478]	slight
-0.168335	[-1.01772499]	modest
-0.659995	[-1.35422707]	acceptable
1.38629	[ 0.56678545]	major
0.462242	[ 0.17960548]	huge
-1.1977	[-1.62258744]	low
0.287682	[ 0.35250878]	considerable
-0.262364	[ 0.1899693]	important
0.776529	[ 0.05950207]	extraordinary
-1.80212	[-1.90483296]	weak
0.239673	[ 0.25692487]	remarkable
-6.16331	[-1.71171844]	low
0.592342	[ 0.4255681]	extraordinary
-1.03799	[-0.30042604]	good
0.944462	[ 0.30719358]	major
-0.393904	[-0.12458509]	promising
0.202941	[-0.69875509]	usual
0.441833	[ 0.15892035]	rare
0.634651	[-0.08545083]	valuable
-0.0657514	[ 0.48895574]	unexpected
0.693147	[ 0.0015676]	sound
-0.163325	[-0.39267322]	bullish
0.584934	[-0.00599736]	crucial
0.745676	[ 0.23407435]	outstanding
-1.93968	[-0.72873467]	fair
-2.54553	[-1.7052778]	light
-0.693147	[ 0.12849772]	promising
-4.72295	[-1.89977133]	disappointing
0.24686	[ 0.07988429]	sizable
-0.896088	[-0.83015227]	likely
0.530628	[-0.12529635]	obvious
-0.901902	[ 0.20965767]	large
0.219363	[-0.04037398]	crucial
-0.0990909	[-0.56678605]	fine
-0.693147	[-0.80802268]	regular
-1.57554	[-0.42916954]	conventional
0.693147	[ 0.25369525]	broad
-1.06784	[ 0.35995805]	unexpected
-0.485508	[-0.27704471]	conventional
0.634878	[ 0.21986043]	large
-0.117783	[-0.04359305]	big
0.318454	[ 0.12133962]	legitimate
0.757686	[ 0.36347127]	radical
-0.584513	[-0.97789401]	regular
0.234572	[-0.06761003]	promising
0.628609	[ 0.30106711]	major
-0.405465	[-0.04501295]	good
-2.4987	[-1.76183307]	little
-0.361013	[-0.84778935]	routine
0.427444	[ 0.07059371]	favorable
0.396621	[ 0.44279361]	intense
-0.674279	[-0.02454561]	valuable
2.02961	[ 0.05641806]	rare
0.783531	[ 0.33991313]	considerable
-1.0116	[-1.52828288]	low
0.0995296	[-0.53820175]	positive
0.587787	[ 0.35244393]	large
-0.405465	[ 0.37572837]	wide
-2.13828	[-1.74258077]	tight
0.123379	[-1.25833154]	bearish
-0.0645385	[ 0.38952863]	sharp
0.330742	[ 0.1001063]	healthy
0.207639	[ 0.13078803]	obvious
-3.56953	[-0.23517054]	crucial
0.543615	[ 0.20761681]	important
0.298855	[-0.12963033]	wide
0.418044	[ 0.1771363]	unexpected
0.467475	[-0.0734638]	valuable
-2.35138	[-1.89318025]	thin
2.22045e-16	[ 0.02988082]	good
-0.899484	[ 0.13109058]	promising
0.678109	[ 0.05105329]	sizable
-1.94591	[-1.71486843]	light
-0.510826	[-0.85276031]	regular
-0.737599	[-1.52980733]	normal
0.0512933	[ 0.42724323]	substantial
1.13498	[ 0.28423059]	valuable
-0.788457	[-1.23382664]	normal
-2.60269	[-1.02665484]	routine
0.451985	[-0.02657098]	grand
1.16315	[ 0.58215129]	radical
0.262364	[-0.0707612]	nice
-2.44235	[-0.66722512]	usual
1.44036	[ 0.13982809]	radical
0.693147	[-0.19368979]	vital
0.029853	[-1.22792995]	acceptable
0.658661	[ 0.35702133]	impressive
-0.223144	[-0.91861653]	regular
-0.356675	[-0.71218103]	fair
0.693147	[ 0.59717715]	substantial
-0.459532	[ 0.26048255]	generous
-4.28359	[-1.77935112]	small
-1.00624	[-0.22938815]	vital
0.799631	[ 0.09651989]	radical
2.22045e-16	[ 0.33305347]	prominent
0.679542	[ 0.24276149]	significant
-0.154151	[-0.41318703]	appropriate
-1.19942	[-0.26578385]	nice
-2.63906	[-1.87776828]	tiny
1.44102	[-0.07457781]	rare
0.412845	[ 0.10713494]	sharp
-0.276253	[ 0.1820066]	legitimate
0.351398	[ 0.42508101]	rich
0.559616	[-0.04233909]	favorable
-0.470004	[-0.73331928]	routine
-1.69799	[-1.9699049]	narrow
-2.19722	[-0.48739147]	positive
-1.981	[-0.94631106]	routine
-0.179793	[-0.1728195]	good
-0.559616	[-0.85406101]	familiar
0.182322	[ 0.12469304]	grand
0.802617	[ 0.26271683]	excessive
-0.606136	[ 0.49520457]	clear
-0.0327898	[ 0.16259879]	clear
-1.50408	[-0.81603253]	fine
0.047628	[ 0.04951441]	extensive
0.459532	[ 0.19397992]	substantial
0.745594	[-0.09139395]	rare
0.533298	[ 0.2405293]	big
-0.71562	[-1.71377671]	small
-0.159065	[ 0.20947033]	rich
-1.94591	[ 0.13231605]	important
0.693147	[ 0.6037544]	deep
-0.641854	[-0.3672992]	positive
-0.79493	[-0.42200887]	comfortable
-1.31568	[-0.3993969]	nice
0.484108	[ 0.0737291]	wide
0.287682	[-0.11334372]	good
0.405465	[ 0.36546957]	surprising
-1.76766	[-1.67274427]	slight
-0.8232	[-1.75880647]	small
