sentence	paragraph	quality_controlled
Service delivery areas on which there is published evidence of CHW effectiveness (continued) (continued) Health issue Setting High-income countries Low-and middle-income countries Infectious diseases HIV Task shifting to CHWs may enhance emotional support and increase retention in care, and better link people with HIV to care (one qualitative study) (56-58).	Service delivery areas on which there is published evidence of CHW effectiveness (continued) (continued) Health issue Setting High-income countries Low-and middle-income countries Infectious diseases HIV Task shifting to CHWs may enhance emotional support and increase retention in care, and better link people with HIV to care (one qualitative study) (56-58).	n
Civil society actors, especially those critically monitor and politically mobilise for the rights of migrants in Europe, have faced prosecutions and criminal convictions when assisting this population.	Many IJMBS articles examined the shifting conception of borders as tools of governance and as boundaries of belonging. A perfect illustration is the 'anticipatory interdiction' measures implemented by Canada to manage the geopolitical 'threat' posed by asylum claimants from Mexico. Measures such as the United StatesCanada Safe Third Country Agreement, the Mexican visa imposition, and the safe country of origin scheme formed a virtual border to effectively filter and exclude migrants from Mexico. In a similar vein, the EU border control regime generated exclusion and precarity of migrants during the so-called 'European refugee crisis' in 2015. As an IJMBS contribution put it, when over a million people reached Europe, intense political debate on the 'crisis' has prevented public opinion from seeing how its root causes lie in the intrinsic weaknesses of the solidarity and responsibility sharing mechanisms in the EU. Indeed another article argued that the EU's political priority to counter migrant smuggling affected the provision of humanitarian assistance and access to rights for irregular immigrants and asylum seekers. Civil society actors, especially those critically monitor and politically mobilise for the rights of migrants in Europe, have faced prosecutions and criminal convictions when assisting this population. Authors pointed almost invariably to the pressing issue of ensuring transparency and accountability at the border.	n
Translation: Www.communication-serviceltd.com Review and Adaptation: Global Footprint Network This Brochure is a contribution to the United Nations decade of Education for Sustainable Development (2005 - 2014).	Translation: Www.communication-serviceltd.com Review and Adaptation: Global Footprint Network This Brochure is a contribution to the United Nations decade of Education for Sustainable Development (2005 - 2014). It supports the goals of the National Plan of Action for Germany and contributes to the global networking of actors with the aim of achieving the integrative goal of education for sustainable development.	n
Journal of Industrial Ecology 3:95-100.	Joshi, S. 1999. Product environmental Life-Cycle assessment using Input-Output techniques. Journal of Industrial Ecology 3:95-100. Kitzes, J., A. Galli, A. Reed, S. M. Rizk, B. Ewing, and M. Wackernagel. 2010. Guidebook to the National Footprint Accounts: 2010 edition. Oakland: Global footprint network.	n
The government is looking to enhance its own communication with universities, but more importantly, between the private sector and universities.	"English language quantitative indicators ! Euromonitor International Page 81 Source: Euromonitor International (interviews with educational centres) Note: Public education in Rwanda is free but parents have to pay for teaching materials, food and uniforms Source: Euromonitor International (interviews with educational centres) ))+! %+! )""! <5>H/?4!.>?;!76/51! <5>H/?4!.>?;6m?!76/51! <MV9>G!! Going to school - how much does it cost? - US$/per term, (2010) %_T! ')T! <5>H/?4!K1MG/?41! <MV9>G!K1MG/?41! WHO is more likely to continue towards higher education? - %, (2010) English language quantitative indicators ! Euromonitor International Page 82 Government seeks greater university interaction with private sector Research reveals that only the National University of Rwanda has a sponsorship programme. However, the country's tertiary education in growing. The government is looking to enhance its own communication with universities, but more importantly, between the private sector and universities."	n
Some theoretical roots to entrepreneurship in education are given and briefly discussed.	What is entrepreneurship in education? 8. This chapter starts with a discussion on the different terms used for describing entrepreneurship in education. Then various definitions are outlined and discussed. Value creation is presented as a commonality uniting different views in the field. Entrepreneurial competencies are discussed and exemplified through some competencies often termed as entrepreneurial. Based on these different terms and concepts, connections to general education are made by contrasting different pedagogical approaches and discussions. Some theoretical roots to entrepreneurship in education are given and briefly discussed.	n
Between 2010-2011 and 2013-2014, there have been important shifts in students' fields of study in higher education.	Between 2010-2011 and 2013-2014, there have been important shifts in students' fields of study in higher education. The general trend infield of studies indicates that while Commerce and Administration was still the most popular field in 2013-2014, the share of enrollment in this field decreased between 2010-2011 Figure6.8c Indonesia --educational attainment -- 20-64-year-old Source: World Development Indicators. 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 0.5 Yr 2010 yr 2020 yr 2015 No education incomplete primary primary lower secondary Upper secondary post-secondary figure6.9 Coted'Ivoire --female educational attainment --(20-64-year-old, 2010) Source: World Development Indicators. 0.1 0.2 0.3 0.4 0.5 0.6 No education incomplete primary primary lower secondary upper secondary post-secondary Cote d'ivoire Indonesia Nigeria and 2013-2014. In parallel, enrollment in Science fields has also been on the decline while other areas such as Literature and Social Sciences seem to have captured a greater enrollment share.	n
Questions and Answers: 'Know Your Customer' quick reference guide Country by country comparison of high level Know Your Customer and Anti-Money Laundering information Q16.	Questions and Answers: 'Know Your Customer' quick reference guide Country by country comparison of high level Know Your Customer and Anti-Money Laundering information Q16. Are relationships with shell banks specifically prohibited? A16. Yes.	n
But just as important as the technical factors of production are several other considerations.	Peanut production has increased three fold over the recent production seasons and stands to increase even further due to use of soil amendments, better cultivation practices and improved varieties. These technical factors would be spurred on by the peanut CRSP. But just as important as the technical factors of production are several other considerations. There exists an unusual level of enthusiasm and willingness to participate on the part of the local farmers. There exists a high degree of trust between the project participants and the people of the Rupununi and a mutual, yet cautious expectation for success. The American Principal Investigators demonstrated a dedication to the project and this type of work and a genuine commitment not to be found among other projects. Finally, there was a high level of participation by women and they virtually dominated (in number) the workshops.	n
Fundamental skills such as literacy and numeracy obtained through primary education are important for household enterprise activities and agriculture, the largest sectors of employment in the economy.	Continued efforts are needed to ensure universal access to primary and secondary education. Fundamental skills such as literacy and numeracy obtained through primary education are important for household enterprise activities and agriculture, the largest sectors of employment in the economy. Numeracy skills enable individuals to better manage their finances and literacy can help them participate more effectively in markets. Fundamental skills such as numeracy and literacy are also prerequisites for achievements at higher levels of education and for access to higher skill occupations. Yet currently approximately 55 percent of 15-34-yearolds in Coted'Ivoire have incomplete or no primary education. The situation is particularly worrisome among females and in rural locations, where 64 percent and 71 percent have incomplete or no primary education. This contrasts with other emerging economies such as Nigeria and Indonesia, where among 20-64-year-olds, 38 percent and 13 percent have incomplete or no primary education, relative to 67 percent in Coted'Ivoire. In 2015, the government declared schooling compulsory for children up to age 16. Addressing access and enrollment in both primary and secondary school remains an important policy consideration to accelerate the effective implementation of the compulsory schooling laws and ensure that all children are effectively enrolled and attending school. Supporting complete enrollment will require significant investments to meet a substantial increase in coverage. The move to make secondary education compulsory will help youth better transition into the formal sector where secondary education is often the minimum educational attainment required to access wage jobs.	n
The result is that the Ghana host country Principal Investigator is in a graduate program for a Ph.D. Moreover, the U.S.A. Principal Investigator is active as a nutrition educator for the Bean-Cowpea CRSP and Sorghum and Millet CRSP.	A unique feature of this Peanut CRSP project (PUR10) is that the U.S.A. Principal Investigator. has structured the research work as a single multi-center project including the U.S.A., Ghana, and Brazil. The objectives are set up to conduct similarly designed experiments at the three sites. The U.S.A. Principal Investigator trains researchers at all sites in nutrition research, experimental design, and analyses of data. This way, all three experimental sites benefit. The result is that the Ghana host country Principal Investigator is in a graduate program for a Ph.D. Moreover, the U.S.A. Principal Investigator is active as a nutrition educator for the Bean-Cowpea CRSP and Sorghum and Millet CRSP. This is expanding nutrition studies throughout CRSP programs, which is very important.	n
"Similar considerations apply to the evidence supporting a ""rural pipeline"" approach, with health education institutions established preferentially in rural areas and opportunities for practical training in rural areas (91)."	"The systematic review of reviews found that CHW training should include a mix of approaches (knowledge and skills based) (17, 86, 87). 7.4.4 Interpretation of the evidence and other considerations by the GDG The broader literature on effective training approaches published in other sectors points to one-off theory and discussion-based trainings as being only moderately helpful in increasing the knowledge of practitioners, and they are generally ineffective in practical skill building that is of measurable benefit in real-world practice settings (88). Substantial changes in practice behaviour could first be observed when on-the-job coaching and continuous feedback was used to support practitioners. This broader literature may be of value when considering the development of practice guidelines for CHWs in this area (89, 90). The GDG considered that the evidence base from other health occupational groups - showing that a balance between theoretical and practical training is associated with positive outcomes - can be assumed to apply also to CHWs. Similar considerations apply to the evidence supporting a ""rural pipeline"" approach, with health education institutions established preferentially in rural areas and opportunities for practical training in rural areas (91). Efforts should also be made to ensure that digital health education approaches complement, rather that replace, traditional face-to-face instructional modalities (92). 7.4.5 Implementation considerations Countries will need to identify the appropriate balance in their context between theoretical and practical training, taking into account a variety of factors, including the pre-existing literacy and educational attainment of trainees. The use of dynamic teaching methodologies, as well as the use of multimedia resources, have the potential to make the training more attractive and effective. The role of simulated practice may be considered for skills development and in areas where exposure to practical training in communities or health facilities may present logistical or operational challenges."	n
Apmrn Secretariat Centre for Asia Pacific Social Transformation Studies, University of Wollongong.	Iredale, R., T. Turpin, C. Hawksley, S. go, S. Kanchai and Y. May Kaung 2001 migration research and policy landscape. Case studies of Australia, the Philippines and Thailand. Asia Pacific Migration Research Network (Apmrn) working paper No. 9. Apmrn Secretariat Centre for Asia Pacific Social Transformation Studies, University of Wollongong.	n
Peanuts during the shelling process (left) and a locally manufactured roaster in a womens cooperative (below).	Peanuts during the shelling process (left) and a locally manufactured roaster in a womens cooperative (below).	n
We trained volunteers from the ministry of youth using the technology to help them on contact and provision of essen1al goods for the popula1ons and help ensure social distancing.	Finding Digital Addresses Finding Gambia Civil Society, Gambia (Republic of the) https://twitter.com/FindingGambia In order to tackle the difficul1es faced by The Gambian ci1zens while observing social distancing, Finding Gambia an ini1a1ve founded to provide addresses for every Gambian - in collabora1on with Gambia Task Force on Plus Code Addressing System - launched a program that would allowed Gambians to find their generate address using google plus codes (which is also their exact addresses) anywhere they are in the country. The ini1a1ve provided training for the Centre for disease control and the Ministry of Health COVID-19 emergency team in plus code genera1on to help locate callers who suspect signs of the virus and need urgent medical aRen1on. We trained volunteers from the ministry of youth using the technology to help them on contact and provision of essen1al goods for the popula1ons and help ensure social distancing.	n
The report exists in English, French, German and Italian.	Completed government reviews of the Ecological Footprint methodology The first of these was completed by the government of Switzerland. Four Swiss government agencies led the effort and the Swiss Statistical Offices published the review in 2006. The report exists in English, French, German and Italian. They also published a more technical background report (available only in English). Switzerland features the Ecological Footprint among its sustainability indicators (MONET) since 2009.	n
Dawn Lai rAm credIt InformAtIon Sdn Bhd Azhar Lee plAtInum tAx consultAnts Sdn Bhd Christopher Lee chrIstopher & Lee onG seen Yin Lee Jeff leonG, Poon & wonG Jeff Leong Jeff leonG, Poon & wonG Neoh Li Ting AzmAn, dAvIdson & Co.	Dawn Lai rAm credIt InformAtIon Sdn Bhd Azhar Lee plAtInum tAx consultAnts Sdn Bhd Christopher Lee chrIstopher & Lee onG seen Yin Lee Jeff leonG, Poon & wonG Jeff Leong Jeff leonG, Poon & wonG Neoh Li Ting AzmAn, dAvIdson & Co.	n
Alternative financing instruments 17 3.	"Executive Summary 6 1. Introduction 11 1.1. Background and rationale 11 1.2. Objectives of the project 12 1.3. Methodology 13 1.4. Objectives of the present report and next steps 13 2. Traditional debt finance and alternative financing instruments 13 2.1. Traditional lending technologies 14 2.2. Credit risk mitigation in traditional lending 15 2.3. Alternative financing instruments 17 3. Asset-based Finance 18 3.1 asset-based lending 19 3.2 factoring 23 3.3 purchase Order Finance 26 3.4 warehouse receipts 27 3.5 Leasing 29 3.5 Trends 31 3.6 Policies 38 4. Alternative debt 42 4.1 Corporate bonds 42 4.2 Debt securitisation and covered bonds 49 5. Crowdfunding 53 5.1 modalities 54 5.2 profile of firms 56 5.3 enabling factors 57 5.4 trends 59 5.5 policies 60 6. Hybrid instruments 63 6.1 subordinated debt 64 6.2 participating loans 64 6.3 ""Silent"" participation 65 6.4 convertible debt and warrants 65 6.5 mezzanine Finance 65 6.6 profile of firms 66 6.7 enabling factors 68 6.8 Trends 68 6.9 Policies 71 7. Equity 73 7.1 Private equity: venture capital and angel investment 74 1 This report was written by Lucia Cusmano, Senior Economist in the OECD Centre for Entrepreneurship, SMEs and Local Development, under the guidance of Miriam Koreen, Deputy Director of the OECD Centre for Entrepreneurship, SMEs and Local Development. 7.2. Public equity: specialised platforms for public listing of SMEs 94 8. Conclusions 104 8.1. The range of instruments 104 8.2. Key challenges and policy implications 107 References 110 ."	n
Today, more than one-tenth of 15-to-24-year-olds worldwide are functionally illiterate, and that does not bode well for their future.107 Also, social skills assume an ever more important role as complements to basic cognitive skills.	But jobs may neither pull nor build skills to a significant degree, even if the foundational cognitive skills are in place. This occurs in situations where the benefits from agglomeration and global integration are present but not adequately exploited. Countries undergoing rapid urbanization often have sizable knowledge spillovers to reap but may fail to move up the value-added ladder. If so, they can be caught in traps of low productivity and low skills.110 Such traps arise when skills are insufficient to spur innovation and the demand for skills is too low to encourage their acquisition. In those cases, more relevant schooling and skill building at the secondary, technical, and likely higher levels are needed as a prerequisite for the creation of good jobs for development. tation and can have cascading ripple effects.104 In Singapore, India's Tata group was the first international company to partner with the Economic Development Board in 1972 to establish a company-owned training center for precision engineers. This partnership model was successfully replicated in subsequent years with other foreign companies, eventually leading to the consolidation of various institutions in 1993 to form Singapore's Nanyang Polytechnic. Today, the polytechnic has become a source of international expertise on industry-led training.105 Intel's decision to establish its semiconductor assembly and test plant in Costa Rica has equally contributed significantly to that country's prospects and skill building system.106 Jobs need skills, pull skills, and build skills Some skills are necessary for productive employment to emerge in the first place. And they cannot be acquired on the job. Without numeracy and literacy skills, the prospects of improving employment opportunities and earnings, whether in agriculture or in urban settings, are thin. Today, more than one-tenth of 15-to-24-year-olds worldwide are functionally illiterate, and that does not bode well for their future.107 Also, social skills assume an ever more important role as complements to basic cognitive skills. Given that skill building is cumulative, securing the foundation on which much of the later path of skill acquisition follows remains an absolute priority. Many countries are not there yet.	n
Jobs agendas are also connected through the international migration of jobs.	Jobs agendas are also connected through the international migration of jobs. The splintering of production tasks has facilitated their delocalization and outsourcing to developing countries, resulting in greater trade volumes and lower prices of final goods. But it has also led to a global redistribution of jobs in manufacturing, and the same trend is increasingly visible in services as well. So far, the migration of jobs out of industrial countries has mainly affected blue-collar workers, but white-collar jobs are following. These are not once-and-for-all moves. Growing labor costs in Asia may open up opportunities for other developing countries to jump-start industrialization.	n
International Center for Tropical Agriculture Food and Agriculture Organization Apartado Aereo 6713, Cali, Colombia of the United Nations .	International Center for Tropical Agriculture Food and Agriculture Organization Apartado Aereo 6713, Cali, Colombia of the United Nations .	n
Kenya, Ministry of Education.	"Kenya, Ministry of Education. ""Kenya education sector analysis."" Nairobi, 2018."	n
UHC means that everyone can obtain the health services they need without suffering financial hardship (8, 9).	"SDG 3 also includes a target (Target 3.8) related to universal health coverage (UHC) that specifically mentions TB. UHC means that everyone can obtain the health services they need without suffering financial hardship (8, 9). Target 3.8 includes an indicator for the coverage of essential prevention, treatment and care interventions. This is a composite indicator based on the coverage of 16 ""tracer interventions"",1 one of which is TB treatment."	n
In many societies, the family lineage is carried on by male children.	"In many societies, the family lineage is carried on by male children. The preservation of the family name is guaranteed through the son(s). Except in a few countries (e.g. Ethiopia), a girl takes her husband's family name, dropping that of her own parents. The fear of losing a name prompts families to wish to have a son. Some men marry a second or a third wife to be sure of having a male child. Among many communities in Asia and Africa, sons perform burial rites for parents. Parents with no male child do not expect to have an appropriate burial to ""secure their peace in the next world"". In almost all religions, ceremonies are performed by men. Priests, pastors, sheikhs and other religious leaders are men of great status to whom society attaches great importance, and this important role for men obliges parents to wish for a male child. Religious leaders have a major involvement in the perpetuation of son preference."	n
Apart from identification and monitoring procedures, the company is obliged to: a) gather information on whether a customer has license, and if yes, for which period the license is granted for providing banking services, name and headquarters of the authority which issued the license; description of the internal procedures which relate to identification and prevention of money laundering and financing of terrorist activities; description of the internal procedures for identification of the beneficial owner of the customer, which relate to reports on suspicious transactions to the relevant authorities; description of the internal procedures for keeping the reports, description of the internal controls and other procedures adopted by the bank for the detection and prevention of the money laundering or financing terrorist activities; b) obtain a description of the relevant legislation in the field of detection and prevention of money laundering and financing terrorist activities in the state where the bank or similar financial institution is established or registered; c) obtain a written statement that the bank or other similar financial institution does not have any business relations with shell banks; d) obtain a written statement that the bank or other similar financial institution does not have a legal relationship with shell banks; e) obtain a written statement that the bank or other similar financial institution is not under administrative supervision in the residence state and that, in accordance with legislation in the residence state, has an obligation to adjust its business activities to be in line with legislation which relates to the detection and prevention of money laundering and financing of terrorist activities; and f) ensure an employee of the controller shall not enter into business relationship with a foreign bank prior obtaining approval from his superior.	Q15. What enhanced due diligence must be performed for correspondent banking relationships (cross-border banking and similar relationships)? A15. Enhanced customer due diligence procedures are prescribed for banks and other financial institutions which have headquarters abroad. Apart from identification and monitoring procedures, the company is obliged to: a) gather information on whether a customer has license, and if yes, for which period the license is granted for providing banking services, name and headquarters of the authority which issued the license; description of the internal procedures which relate to identification and prevention of money laundering and financing of terrorist activities; description of the internal procedures for identification of the beneficial owner of the customer, which relate to reports on suspicious transactions to the relevant authorities; description of the internal procedures for keeping the reports, description of the internal controls and other procedures adopted by the bank for the detection and prevention of the money laundering or financing terrorist activities; b) obtain a description of the relevant legislation in the field of detection and prevention of money laundering and financing terrorist activities in the state where the bank or similar financial institution is established or registered; c) obtain a written statement that the bank or other similar financial institution does not have any business relations with shell banks; d) obtain a written statement that the bank or other similar financial institution does not have a legal relationship with shell banks; e) obtain a written statement that the bank or other similar financial institution is not under administrative supervision in the residence state and that, in accordance with legislation in the residence state, has an obligation to adjust its business activities to be in line with legislation which relates to the detection and prevention of money laundering and financing of terrorist activities; and f) ensure an employee of the controller shall not enter into business relationship with a foreign bank prior obtaining approval from his superior.	n
Gender roles and norms can also play a role in the aftermath of disasters.	The impact of extreme climate events and disasters also has a gender dimension. Although limited, available data suggest that age and sex are significant factors in mortality resulting from natural disasters. Their contribution varies by country and by type of hazard. For instance, a higher risk of death among women than men was noted mainly in the context of recent tsunamis and heatwaves. Gender roles and norms can also play a role in the aftermath of disasters. In some The World's Women 2015xiv post-disaster settings, women's access to work and their involvement in decision-making related to recovery efforts and risk-reduction strategies remain more limited than men's.	n
The informal sector in 145 countries.  The informal sector in 145 countries .		n
Mozambique engaged in special business activities (e.g.	Mozambique engaged in special business activities (e.g. financial and insurance operations, leasing [exemption with restrictions], sale of immovable property, some exempt activities).	n
C Hlpe (high level panel of experts on food security and nutrition), 2012.	Using the FIES at the individual level can capture disparities in food security between women and men, including those due to intra-household differences in resource allocation and feeding priorities. Preliminary results from 117 countriesk show that women are more likely to be food insecure than men in 26 per cent of countries, and men in 12 per cent of countries. In the remaining countries, women are as likely as men to be food insecure. The association between food insecurity and gender is more prevalent in developing countries. The proportion of developing countries where women are more likely than men to be food insecure increases to 39 per cent, while for men, it remains at about the same level, at 13 per cent. However, at the completion of data collection exercises in the countries implementing the scale, further analysis is needed to confirm the validity of a global experience-based insecurity scale and ensure cross-country comparability of results, including from a gender perspective. a A first draft of this box was prepared by the FAO Statistics Division. B FAO, 1996. C Hlpe (high level panel of experts on food security and nutrition), 2012. Pages 21-22. d Ibid. e Jones and others, 2013; de Weerdt and others, 2014. f Data and analysis prepared by FAO, 2014. Data shown in Statistical Annex available at http://unstats.un.org/unsd/ gender/worldswomen.html. g Ibid. h By comparison, individuallevel data on malnutrition of children and pregnant women, capturing the dimension of food utilization, are often available from demographic and health surveys. i For more details on the project see FAO, Voices of the Hungry (http://www.fao. org/economic/ess/ess-fs/ voices/en/) (accessed June 2015). j The respondents are asked directly whether in the last 12 months there was a time when, because of lack of money or other resources they: (1) were worried that they would run out of food; (2) were unable to eat healthy and nutritious food; (3) ate only a few kinds of foods; (4) had to skip a meal; (5) ate less than they thought they should; (6) their household run out of food; (7) were hungry but did not eat; (8) went without eating for a whole day. K FAO, 2015.	n
What roles do friendship and education, faith or cultural roots play?	You can calculate your own Happiness Index * at http://survey.happyplanetindex.org/. What elements are keys to a happy life? What roles do friendship and education, faith or cultural roots play? What clothes, objects, and furniture in your room could you do without? And what is most valuable to you? Does a comparison with the possessions of others play a role? If you won the lottery, what would you * spend the money on? Assume winnings of 10 euro, 1,000 euro, and 1 million euro.	n
The expansion of their production also holds promise for inclusive jobs generation (including for neighboring countries).61 An increasing share of cashew nuts are also processed locally (especially in the central region), creating potential off-farm employment opportunities in secondary towns.	Across survey years and labor input variables (family and hired), rice emerges as one of the most labor-intensive crops in Coted'Ivoire. The recent expansion of rice production is thus also promising from a jobs perspective. Cotton and cashew producers make the most extensive use of hired labor. Both crops are grown widely in the north, where poverty rates are highest. The expansion of their production also holds promise for inclusive jobs generation (including for neighboring countries).61 An increasing share of cashew nuts are also processed locally (especially in the central region), creating potential off-farm employment opportunities in secondary towns. Finally, consistent with findings from other countries (for example, Damiani (2003) for Brazil), vegetable production is also highly labor intensive. Its potential has so far been largely left unexploited. Overall, these trends are promising, but much scope for improvement remains.	n
The second identifies the social, economic, and institutional factors that create feedbacks reproducing this differential response capacity (Bahadur et al. 2013, Bene et al. 2016a).	"In order to implement agricultural development policy in deltas that builds farmer resilience, we first need to be able to assess the conditions that create resilience. Increasingly, it is recognized that resilience assessments have two essential components. The first identifies the characteristics of farmers that explain heterogeneous responses to shocks (Carter et al. 2007, Hoddinott and Quisumbing 2010). The second identifies the social, economic, and institutional factors that create feedbacks reproducing this differential response capacity (Bahadur et al. 2013, Bene et al. 2016a). The first of these assessment components identifies ""proximal"" factors that affect or predict the resilience of rice farmers to climate hazards. Knowledge of these proximal factors is important for targeting within agricultural development policy ensuring the resilience of vulnerable groups of farmers is bolstered."	n
Job-creation grants are also available in special industrial zones.	Corporate income tax relief and cash grants on capital expenditures are offered throughout the entire Czech Republic with the exception of Prague. Job-creation grants and training and retraining grants are only offered in regions with high unemployment. Job-creation grants are also available in special industrial zones. Real estate tax exemption is only offered in special industrial zones.	n
Forty percent of the workforce is involved in agriculture, which makes up 17% of the GDP.	* GNI per capita PPP$, 2000: 3,670 * Internal renewable water resources: 1.8 km3 * Incoming water flow: 66.7 km3 * Main food consumed: wheat, maize, sugar and honey, oil and fat, rice * Rice consumption, 1999: 40.6 kg milled rice per person per year EGYPT, a large nation of 1 million km2, although mainly containing desert, is located in the northeastern corner of Africa. It has a fast-growing population, 67 million in 1999, almost all of whom live along the Nile River. The Nile's waters are used extensively to irrigate crops such as rice, which is grown in the summer on about 600,000 ha, mainly in the northern delta. Forty percent of the workforce is involved in agriculture, which makes up 17% of the GDP.	n
We identified four key underlying contextual drivers that generate institutional, social, cultural, and economic feedbacks that reinforce this vulnerable state of rice farming.	Rice farmer resilience: contextual drivers The results presented above illustrate that the majority of rice farmers have limited resilience to climate hazards; they persist in Ecology and Society 22(4): 3 https://www.ecologyandsociety.org/vol22/iss4/art3/ a livelihood system typified by low-productivity rice cropping and ineffective coping strategies. These livelihoods are susceptible to losses from climate hazards and do not generate resources that farmers can utilize in response to climate impacts. This is a partial explanation as to why rice farmers lack resilience; it does not answer what led to this state occurring nor fully explain why it persists. To understand why such a state persists it is necessary to identify the underlying contextual drivers of this situation. We identified four key underlying contextual drivers that generate institutional, social, cultural, and economic feedbacks that reinforce this vulnerable state of rice farming. Our research suggested that these underlying contextual drivers were (i) the institutions surrounding land ownership, (ii) the nature of formal institutional support, (iii) lack of employment diversity, and (iv) expenses related to cultural activities.	n
The project is sustainable through the associa,ve process created by the users to maintain the community network.	A challenge with Community Networks is the self-management process, that needs to be improved in the terms of decision making, turning the par,cipa,on between the local council and all the users widely. In terms of resources (financial and regulatory), the need to adjust the direc,ons of the public policies and funds to a&end these ini,a,ves. They intend to implement a decision making plaLorm to involve more users about the issues and solu,ons about their own community internet provider. They need partners to help communi,es in two main ac,vi,es: access to local engineers to obtain licenses, use licensed spectrum or to create another technical project in their own community networks. More people to make poli,cal and regulatory incidence in the telecom na,onal agencies and the interna,onal spaces linked to telecom and internet issues. The project is sustainable through the associa,ve process created by the users to maintain the community network. Sharing the costs, without profit, allows the users to have a cheaper price to the link and maintenance, that is paid collec,vely. Community networks are replicable ini,a,ves, as highlighted through the IGF and ITU recommenda,ons. Other repository exist in the APC and ISOC website and on the IBEBrasil site with links and docs about these projects.	n
These requirements apply to entities engaged in banking, insurance or fund management; headquarter companies; companies engaged in financing and leasing; companies engaged in distribution; service centers; shipping companies; and intellectual property businesses, among others.	The new substance requirements apply to entities that perform certain activities, generally described as relevant activities. These requirements apply to entities engaged in banking, insurance or fund management; headquarter companies; companies engaged in financing and leasing; companies engaged in distribution; service centers; shipping companies; and intellectual property businesses, among others. An included entity carrying on relevant activities must conduct core income generating activities (CIGA) in The Bahamas, which presupposes adequate amounts of annual operating expenditure, levels of qualified full-time employees, physical offices, and levels of board management and control in The Bahamas.	n
Share of calories and protein from Rice, 1966-99 20 60 100 1966 1971 1976 1981 1986 1991 1996 1999 percent calorie share protein share 100 300 500 indices of rice production, area, and yield, 1966-2000 1966 1971 1976 1981 1986 1991 1996 2000 index (1966 = 100) Production area yield per capita Production (Paddy Terms), 1966-99 100 300 500 1966 1971 1976 1981 1986 1991 1996 1999 kg/Capita -100 -80 -60 -40 -20 20 60 100 net trade status, 1966-99 1966 1971 1976 1981 1986 1991 1996 1999 percent Exports imports 232 Rice Almanac .	Share of calories and protein from Rice, 1966-99 20 60 100 1966 1971 1976 1981 1986 1991 1996 1999 percent calorie share protein share 100 300 500 indices of rice production, area, and yield, 1966-2000 1966 1971 1976 1981 1986 1991 1996 2000 index (1966 = 100) Production area yield per capita Production (Paddy Terms), 1966-99 100 300 500 1966 1971 1976 1981 1986 1991 1996 1999 kg/Capita -100 -80 -60 -40 -20 20 60 100 net trade status, 1966-99 1966 1971 1976 1981 1986 1991 1996 1999 percent Exports imports 232 Rice Almanac .	n
"Useful links to Financial Action Task Force (""FATF"") reports and country evaluations are also included, in addition to questions on suspicious activity reporting obligations, penalties for non-compliance, AML audits and data privacy."	"The Guide also contains up to date information on regulatory and other cultural issues which need to be addressed when conducting business across multiple jurisdictions. Useful links to Financial Action Task Force (""FATF"") reports and country evaluations are also included, in addition to questions on suspicious activity reporting obligations, penalties for non-compliance, AML audits and data privacy. Our Guide also provides an insight into the relevant AML regulations affecting each country and includes links, where relevant, detailing further information."	n
Key information on difficulties at entry, sector, and location of operation, number of workers, levels of profits or revenues are derived from this module.	To get a comprehensive picture of constraints and challenges in the sector, this chapter uses both quantitative micro data and complementary qualitative data. First, cross-sectional quantitative data is obtained from the 2013 national employment Survey (ENSETE 2013). The survey provides nationally representative data on approximately 12,000 households and their members. It includes a household-based module on Income Generating Activities and Household Enterprises. From this survey, we are able to perform analysis at the level of the unit of production as well as at the level of the household enterprise owner (often household heads). Key information on difficulties at entry, sector, and location of operation, number of workers, levels of profits or revenues are derived from this module.	n
D. World Bank 2004a, 53.	"Downsizing also diminished the economic resources available to community organizations such as churches: ""The churches are in crisis also. As individuals, we are part of the crisis, so we carry it into church and it in turn goes into society,"" one person said.d Regime change and unemployment in Bulgaria Bulgaria massively downsized its unsustainable state enterprises following the end of the Communist regime. The disappearance of BOX 4.3 Displacement and unemployment can lead to the erosion of trust and ties Source: Dudwick 2012 for the World Development Report 2013. a. World Bank 2004a. B. World Bank 2004a, 26. C. World Bank 2004a, 29. D. World Bank 2004a, 53. state jobs entailed the loss of numerous benefits, including health care and job security. In focus groups, people linked job loss to poor health, social isolation, and crime. Older men, in particular, lost face when they had to ask young relatives or employers for work."	n
Number and types of publications produced by scientists and their partners by regions and countries, 2001-2005.	Annex table 12b. Number and types of publications produced by scientists and their partners by regions and countries, 2001-2005.	n
First, IUCN at its World Conservation Congresses has adopted specific policies on protected areas and indigenous peoples' rights.	In recent years there have been many important developments in relation to protected areas overlapping with indigenous peoples' lands, waters and resources. First, IUCN at its World Conservation Congresses has adopted specific policies on protected areas and indigenous peoples' rights. Secondly, at the national level many countries have adopted and applied new legal and policy frameworks relevant to indigenous peoples' rights, with important implications for protected areas. At the international level, several instruments such as the CBD Programme of Work on Protected Areas, as well as the UN Declaration on the Rights of Indigenous Peoples, have been adopted and have changed significantly the political landscape regarding indigenous peoples and protected areas.	n
