-DOCSTART- -X- -X- O
dithis dithis Case=Nom|Gender=Fem|Number=Sing NOUN
thall thall _ ADV
'sa 'sa _ ADP
bhunkhouse bhunkhouse Foreign=Yes X

ò ò _ INTJ
a a Mood=Int|PartType=Vb|PronType=Int PART
bheil bi Tense=Pres VERB

cò cò Mood=Int PRON
? ? _ PUNCT

'se is _ AUX
caoraich caorach Case=Nom|Gender=Fem|Number=Plur NOUN
a a PartType=Vb|PronType=Rel PART
th' bi Tense=Pres VERB
aice aig Gender=Fem|Number=Sing|Person=3 ADP

bha bi Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
a' ag _ PART
gearrain gearrain VerbForm=Vnoun NOUN
cianail cianail _ ADV
air air _ ADP
na an Gender=Fem|Number=Plur DET
prìsean prìs Case=Dat|Gender=Fem|Number=Plur NOUN
a a PartType=Vb|PronType=Rel PART
bh' bi Tense=Past VERB
acasan aig Number=Plur|Person=3|PronType=Emp ADP
cuideachd cuideachd _ ADV

och och _ INTJ
uill uill _ INTJ
chan is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
gearrain gearrain Case=Nom|Gender=Masc|Number=Sing NOUN
aon aon _ NUM
duine duine Case=Gen|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
th' bi Tense=Pres VERB
ann ann Gender=Masc|Number=Sing|Person=3 ADP
a a _ ADP
rèir rèir _ ADP
choltais coltas Case=Gen|Gender=Masc|Number=Sing NOUN

feumaidh feum Tense=Fut VERB
gu gu _ PART
bheil bi Tense=Pres VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
air air _ ADP
feadh feadh _ ADP
na an Case=Gen|Gender=Fem|Number=Sing DET
rìoghachda rìoghachda Case=Gen|Gender=Fem|Number=Sing NOUN
droch droch _ ADJ
phrìsean prìs Case=Nom|Gender=Fem|Number=Plur NOUN

tha bi Tense=Pres VERB
chuala cluinn Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
am an Gender=Masc|Number=Sing DET
boireannach boireannach Case=Nom|Gender=Masc|Number=Sing NOUN

bha bi Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
ag ag _ PART
ràdh abair VerbForm=Vnoun NOUN
riut ri Number=Sing|Person=2 ADP
an-dè an-dè _ ADV
a a PartType=Vb|PronType=Rel PART
chunna faic Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
an an _ ADP
[Placename] [Placename] _ PROPN
ann ann _ ADV
a a _ ADV
shiodach shiodach _ ADV

bha bi Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
'sa 'sa _ ADP
bhunkhouse bhunkhouse Foreign=Yes X
againn aig Number=Plur|Person=1 ADP
thall thall _ ADV
ann ann _ ADV
a a _ ADV
shiodach shiodach _ ADV

chunnaic faic Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
i i Gender=Fem|Number=Sing|Person=3 PRON

tha bi Tense=Pres VERB
an an Gender=Masc|Number=Sing DET
càr càr Case=Nom|Gender=Masc|Number=Sing NOUN
aice aig Gender=Fem|Number=Sing|Person=3 ADP
an an _ ADP
[Placename] [Placename] _ PROPN
fhathast fhathast _ ADV

tha bi Tense=Pres VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
a' ag _ PART
cur cuir VerbForm=Vnoun NOUN
uallach uallach Case=Gen|Gender=Masc|Number=Sing NOUN
orm air Number=Sing|Person=1 ADP
cà cà Mood=Int ADV
deach rach Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON

[?] [?] _ X

uill uill _ INTJ
dh’aithnich aithnich Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
i i Gender=Fem|Number=Sing|Person=3 PRON

cha cha PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
esan e Gender=Masc|Number=Sing|Person=3|PronType=Emp PRON
idir idir _ ADV
a' ag _ PART
dol rach VerbForm=Vnoun NOUN
a-mach a-mach _ ADV
'sa 'sa _ ADP
chanoe chanoe Foreign=Yes X
nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
an an _ ADV
seo seo _ ADV

cha cha PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
ann ann Gender=Masc|Number=Sing|Person=3 ADP
ach ach _ ADP
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON

's is _ AUX
dòcha dòcha _ NOUN
gun gun _ PART
do do Tense=Past PART
choisich coisich Tense=Past VERB
esan e Gender=Masc|Number=Sing|Person=3|PronType=Emp PRON
a-null a-null _ ADV
seachad seachad _ ADV
an an Gender=Fem|Number=Sing DET
tràigh tràigh Case=Nom|Gender=Fem|Number=Sing NOUN

àidh àidh _ INTJ
's is _ AUX
dòcha dòcha _ NOUN
gun gun _ PART
robh bi Tense=Past VERB
rudeigin rudeigin Case=Nom|Gender=Masc|Number=Sing NOUN
mar mar _ ADP
sin sin _ PRON

shean sean _ PRON
agad agad Number=Sing|Person=2 ADP
e e Gender=Masc|Number=Sing|Person=3 PRON
ach ach _ CCONJ
uill uill _ INTJ
b' is _ AUX
fheàirrde math _ ADJ
duine duine Case=Nom|Gender=Masc|Number=Sing NOUN
[?] [?] _ X

tha bi Tense=Pres VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
math math _ ADJ
tha bi Tense=Pres VERB
mi mi Number=Sing|Person=1 PRON
a' ag _ PART
creidsinn creid VerbForm=Vnoun NOUN
gum gum _ PART
feum feum Tense=Fut VERB
mi mi Number=Sing|Person=1 PRON
feuchainn feuch _ NOUN
a-mach a-mach _ ADV
a a _ ADP
[Placename] [Placename] _ PROPN
ach ach _ ADP
am am Mood=Int|PartType=Vb|PronType=Int PART
faic faic Tense=Fut VERB
mi mi Number=Sing|Person=1 PRON
a’ an Gender=Fem|Number=Sing DET
gheòla geòla Case=Nom|Gender=Fem|Number=Sing NOUN

gu gu PartType=Ad PART
dearbha dearbha _ ADV
's is _ AUX
math math _ ADJ
gun gun _ PART
d’ d' Tense=Past PART
fhuair faigh Tense=Past VERB
sinn sinn Number=Plur|Person=1 PRON
a a Gender=Masc|Number=Sing|Person=3 DET
pheantadh peant VerbForm=Inf NOUN
Disathairne disathairne Case=Nom|Gender=Masc|Number=Sing NOUN

bha bi Tense=Past VERB
sinn sinn Number=Plur|Person=1 PRON
fortanach fortanach _ ADJ
gun gun _ PART
robh bi Tense=Past VERB
sìde sìde Case=Nom|Gender=Fem|Number=Sing NOUN
nar nar _ ADP
fàbhar fàbhar Case=Dat|Gender=Masc|Number=Sing NOUN

an an Mood=Int|PartType=Vb|PronType=Int PART
d’ d' Tense=Past PART
fhuair faigh Tense=Past VERB
sibh sibh Number=Plur|Person=2 PRON
crìochnachadh crìochnachadh Case=Nom|Gender=Masc|Number=Sing NOUN
Disathairne disathairne Case=Nom|Gender=Masc|Number=Sing NOUN
? ? _ PUNCT

och och _ INTJ
uill uill _ INTJ
tha bi Tense=Pres VERB
gu gu PartType=Ad PART
beagnaich beagnaich _ ADV

tha bi Tense=Pres VERB
beagan beagan Case=Nom|Gender=Masc|Number=Sing NOUN
ri ri _ PART
dhèanamh dèan VerbForm=Vnoun NOUN
na an _ ADP
broinn broinn Case=Dat|Gender=Fem|Number=Sing NOUN

chan is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
a’ an Gender=Fem|Number=Sing DET
chailleach cailleach Case=Nom|Gender=Fem|Number=Sing NOUN
tha bi Tense=Pres VERB
siud siud _ PRON
màthair màthair Case=Nom|Gender=Fem|Number=Sing NOUN
a' an Case=Gen|Gender=Masc|Number=Sing DET
bhoireannaich boireannach Case=Gen|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
pòsda pòsda _ ADJ
aig aig _ ADP
[Name] [Name] Case=Dat|Gender=Masc PROPN
[Name] [Name] _ PROPN

chan is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
sin sin _ PRON
an an Gender=Fem|Number=Sing DET
tè tè Case=Nom|Gender=Fem|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bh' bi Tense=Past VERB
ann ann Gender=Masc|Number=Sing|Person=3 ADP

bha bi Tense=Past VERB
cailleach cailleach Case=Nom|Gender=Fem|Number=Sing NOUN

a’ an Gender=Fem|Number=Sing DET
chailleach cailleach Case=Nom|Gender=Fem|Number=Sing NOUN
sin sin _ DET
bha bi Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
ann ann Gender=Masc|Number=Sing|Person=3 ADP
co-dhiubh co-dhiubh _ ADV

tha bi Tense=Pres VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
shìos shìos _ ADV
'san an _ ADP
[Placename] [Placename] _ PROPN

bean bean Case=Nom|Gender=Fem|Number=Sing NOUN
a' an Case=Gen|Number=Sing DET
[Name] [Name] _ PROPN

's is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON

chan is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
i i Gender=Fem|Number=Sing|Person=3 PRON
sin sin _ DET
a a PartType=Vb|PronType=Rel PART
bhiodh bi Mood=Cnd VERB
ann ann Gender=Masc|Number=Sing|Person=3 ADP

och och _ INTJ
chan is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON

bhiodh bi Mood=Cnd VERB
iad iad Number=Plur|Person=3 PRON
sin sin _ DET
aig aig _ ADP
àidh àidh _ INTJ

﻿Nuair ﻿nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
a' ag _ PART
tilgeil tilg VerbForm=Vnoun NOUN
sìl sìl Case=Gen|Gender=Masc|Number=Sing NOUN
chun chun _ ADP
nan an Case=Gen|Gender=Masc|Number=Plur DET
cearcan cearc Case=Gen|Gender=Masc|Number=Plur NOUN
chitheadh faic Mood=Cnd VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
fàinne fàinne Case=Nom|Gender=Masc|Number=Sing NOUN
le le _ ADP
saiphirean saiphir Case=Dat|Gender=Masc|Number=Plur NOUN
is is _ CCONJ
le le _ ADP
daoimeanan daoimean Case=Dat|Gender=Masc|Number=Plur NOUN
a' ag _ PART
deàrrsadh deàrrs VerbForm=Vnoun NOUN
air air _ ADP
a a Gender=Fem|Number=Sing|Person=3 DET
meur meur Case=Dat|Gender=Masc|Number=Sing NOUN
is is _ CCONJ
bhiodh bi Mood=Cnd VERB
ioghnadh ioghnadh Case=Nom|Gender=Masc|Number=Sing NOUN
oirre air Gender=Fem|Number=Sing|Person=3 ADP
ciamar ciamar Mood=Int ADV
a a PartType=Vb|PronType=Rel PART
fhuair faigh Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
, , _ PUNCT
a a Gender=Fem|Number=Sing|Person=3 DET
fear-pòsta fear-pòsta Case=Nom|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
a a Gender=Masc|Number=Sing|Person=3 DET
leithid leithid Case=Nom|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Bha bi Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
soirbh soirbh _ ADJ
fhaicinn faic _ NOUN
gu gu _ PART
robh bi Tense=Past VERB
am an Gender=Masc|Number=Sing DET
fàinne fàinne Case=Nom|Gender=Masc|Number=Sing NOUN
luachmhor luachmhor _ ADJ
ach ach _ CCONJ
dè dè Mood=Int PRON
b' is _ AUX
fhiach fiach Case=Nom|Gender=Masc|Number=Sing NOUN
e e Gender=Masc|Number=Sing|Person=3 PRON
cha cha PartType=Cmpl|Polarity=Neg PART
b' is _ AUX
aithne aithne _ NOUN
do do _ ADP
h-aon aon _ PRON
aca aig Number=Plur|Person=3 ADP

Nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
cheasnaicheadh ceasnaich Mood=Cnd VERB
Màiri Màiri Case=Nom|Gender=Fem PROPN
esan e Gender=Masc|Number=Sing|Person=3|PronType=Emp PRON
, , _ PUNCT
bhiodh bi Mood=Cnd VERB
soillseachadh soillseachadh Case=Nom|Gender=Masc|Number=Sing NOUN
eadar-dhealaichte eadar-dhealaichte Case=Nom|Gender=Masc|Number=Sing ADJ
aige aig Gender=Masc|Number=Sing|Person=3 ADP
a a _ DET
h-uile uile _ DET
turas turas Case=Nom|Gender=Masc|Number=Sing NOUN
ach ach _ CCONJ
daonnan daonnan _ ADV
aig aig _ ADP
ceann ceann Case=Dat|Gender=Masc|Number=Sing NOUN
na an Case=Gen|Gender=Fem|Number=Sing DET
sgeòil sgeòil Case=Gen|Gender=Fem|Number=Sing NOUN
theireadh teir Mood=Cnd VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
le le _ ADP
cinnt cinnt Case=Dat|Gender=Fem|Number=Sing NOUN
" " _ PUNCT
Bi bi Mood=Imp|Person=2 VERB
thusa thu Number=Sing|Person=2|PronType=Emp PRON
coma coma _ ADJ
. . _ PUNCT

Cha cha PartType=Cmpl|Polarity=Neg PART
b' is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
a a Gender=Masc|Number=Sing|Person=3 DET
ghoid goid VerbForm=Inf NOUN
a a PartType=Vb|PronType=Rel PART
rinn dèan Tense=Past VERB
mi mi Number=Sing|Person=1 PRON
. . _ PUNCT
" " _ PUNCT

Seo seo _ PRON
mar mar _ SCONJ
a a PartType=Vb|PronType=Rel PART
fhuair faigh Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
e e Gender=Masc|Number=Sing|Person=3 PRON
. . _ PUNCT

Bha bi Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
fhathast fhathast _ ADV
gun gun _ ADP
phòsadh pòsadh Case=Dat|Gender=Masc|Number=Sing NOUN
ach ach _ CCONJ
a a Gender=Masc|Number=Sing|Person=3 DET
shùil sùil Case=Nom|Gender=Fem|Number=Sing NOUN
air air _ ADP
Màiri Màiri Case=Dat|Gender=Fem PROPN
, , _ PUNCT
ach ach _ CCONJ
gun gun _ ADP
chabhaig cabhaig Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
agus agus _ CCONJ
is is _ AUX
dòch' dòch' _ NOUN
air air _ ADP
tè tè Case=Dat|Gender=Fem|Number=Sing NOUN
no no _ CCONJ
dhà dhà _ PRON
eile eile _ ADJ
a a PartType=Vb|PronType=Rel PART
thigeadh tig Mood=Cnd VERB
na an _ ADP
shealladh sealladh Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Bha bi Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
riaraichte riaraichte _ ADJ
le le _ ADP
chrannchur crannchur Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
tuathanas tuathanas Case=Nom|Gender=Masc|Number=Sing NOUN
beag beag Case=Nom|Gender=Masc|Number=Sing ADJ
aige aig Gender=Masc|Number=Sing|Person=3 ADP
ga ga _ PART
chumail cùm VerbForm=Vnoun NOUN
gun gun _ ADP
èis èis Case=Dat|Gender=Fem|Number=Sing NOUN
is is _ CCONJ
a a Gender=Masc|Number=Sing|Person=3 DET
mhàthair màthair Case=Nom|Gender=Fem|Number=Sing NOUN
a' ag _ PART
cumail cùm VerbForm=Vnoun NOUN
an an Case=Gen|Gender=Masc|Number=Sing DET
taighe taigh Case=Gen|Gender=Masc|Number=Sing NOUN
dha do Gender=Masc|Number=Sing|Person=3 ADP
. . _ PUNCT

An an _ ADP
dèidh dèidh _ ADP
latha latha Case=Nom|Gender=Masc|Number=Sing NOUN
obrach obair Case=Gen|Gender=Fem|Number=Sing NOUN
bu is _ AUX
tric tric _ ADJ
leis le Gender=Masc|Number=Sing|Person=3 ADP
a a PartType=Inf PART
dhol rach VerbForm=Inf NOUN
a-staigh a-staigh _ ADV
don don _ ADP
bhaile baile Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
don don _ ADP
taigh-òsda taigh-òsda Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
far far _ SCONJ
an an Mood=Int|PartType=Vb|PronType=Int PART
gabhadh gabh Mood=Cnd VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
pinnt pinnt Case=Nom|Gender=Fem|Number=Sing NOUN
. . _ PUNCT

Gheibheadh geibh Mood=Cnd VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
naidheachdan naidheachd Case=Nom|Gender=Fem|Number=Plur NOUN
na an Case=Gen|Gender=Fem|Number=Sing DET
dùthcha dùthcha Case=Gen|Gender=Fem|Number=Sing NOUN
is is _ CCONJ
ghabhadh gabh Mood=Cnd VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
pàirt pàirt Case=Nom|Gender=Fem|Number=Sing NOUN
ann ann _ ADP
an an _ ADP
dibhearsain dibhearsain Case=Dat|Gender=Masc|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
dol rach _ NOUN
. . _ PUNCT

Bha bi Tense=Past VERB
Tormod Tormod Case=Nom|Gender=Masc PROPN
, , _ PUNCT
a a Gender=Masc|Number=Sing|Person=3 DET
chompanach companach Case=Nom|Gender=Masc|Number=Sing NOUN
bho bho _ ADP
àm àm Case=Dat|Gender=Masc|Number=Sing NOUN
sgoile sgoil Case=Gen|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
daonnan daonnan _ ADV
ri ri _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
thaobh taobh Case=Dat|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Bha bi Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
ao-coltach ao-coltach _ ADJ
ri ri _ ADP
chèile chèile Reflex=Yes PRON
nan nan _ ADP
coltas coltas Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
oir oir _ SCONJ
bha bi Tense=Past VERB
Iain Iain Case=Nom|Gender=Masc PROPN
dorcha dorcha _ ADJ
le le _ ADP
falt falt Case=Dat|Gender=Masc|Number=Sing NOUN
dubh dubh Case=Dat|Gender=Masc|Number=Sing ADJ
crasgach crasgach Case=Dat|Gender=Masc|Number=Sing ADJ
is is _ CCONJ
sùilean sùil Case=Dat|Gender=Fem|Number=Plur NOUN
mear mear Case=Dat|Gender=Fem|Number=Plur ADJ
, , _ PUNCT
is is _ CCONJ
Tormod Tormod Case=Nom|Gender=Masc PROPN
bàn bàn _ ADJ
, , _ PUNCT
le le _ ADP
sùilean sùil Case=Dat|Gender=Fem|Number=Plur NOUN
neo-chiontach neo-chiontach Case=Dat|Gender=Fem|Number=Plur ADJ
, , _ PUNCT
gorma gorma Case=Dat|Gender=Fem|Number=Plur ADJ
. . _ PUNCT

Bha bi Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
làidir làidir _ ADJ
, , _ PUNCT
dèanta dèanta _ ADJ
na an _ ADP
bhodhaig bodhaig Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
bhon bhon _ SCONJ
dh'fhàg fàg Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
an an Gender=Fem|Number=Sing DET
sgoil sgoil Case=Nom|Gender=Fem|Number=Sing NOUN
bha bi Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
ag ag _ PART
obair obraich VerbForm=Vnoun NOUN
ann ann _ ADP
an an _ ADP
sgoil-marcaidheachd sgoil-marcaidheachd Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
nis nis _ ADV
a' ag _ PART
coimhead coimhead VerbForm=Vnoun NOUN
thairis thairis _ ADV
air air _ ADP
na an Gender=Masc|Number=Plur DET
h-eich each Case=Dat|Gender=Masc|Number=Plur NOUN
. . _ PUNCT

B' is _ AUX
ainneamh ainneamh _ ADV
a a PartType=Vb|PronType=Rel PART
thigeadh tig Mood=Cnd VERB
boireannaich boireannach Case=Nom|Gender=Masc|Number=Plur NOUN
don don _ ADP
taigh-òsda taigh-òsda Case=Dat|Gender=Masc|Number=Sing NOUN
mur mur _ SCONJ
biodh bi Mood=Cnd VERB
cèilidh cèilidh Case=Nom|Gender=Masc|Number=Sing NOUN
no no _ CCONJ
a a Gender=Masc|Number=Sing|Person=3 DET
leithid leithid Case=Nom|Gender=Fem|Number=Sing NOUN
ann ann Gender=Masc|Number=Sing|Person=3 ADP
. . _ PUNCT

An an Gender=Fem|Number=Sing DET
uair uair Case=Nom|Gender=Fem|Number=Sing NOUN
sin sin _ DET
thigeadh tig Mood=Cnd VERB
iad iad Number=Plur|Person=3 PRON
le le _ ADP
am am Number=Plur|Person=3 DET
fir fear Case=Dat|Gender=Masc|Number=Plur NOUN
fhèin fhèin Reflex=Yes PRON
, , _ PUNCT
is is _ CCONJ
nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
thigeadh tig Mood=Cnd VERB
iad iad Number=Plur|Person=3 PRON
às as _ ADP
aonais aonais _ ADP
fir fear Case=Gen|Gender=Masc|Number=Sing NOUN
bhiodh bi Mood=Cnd VERB
ban-chompanach ban-chompanach Case=Nom|Gender=Masc|Number=Sing NOUN
aca aig Number=Plur|Person=3 ADP
is is _ CCONJ
i i Gender=Fem|Number=Sing|Person=3 PRON
fhèin fhèin Reflex=Yes PRON
stòlda stòlda _ ADJ
, , _ PUNCT
suidhichte suidhichte _ ADJ
. . _ PUNCT

Cha cha PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
iarraidh iarraidh Case=Nom|Gender=Fem|Number=Sing NOUN
air air _ ADP
riaghailtean riaghailt Case=Nom|Gender=Fem|Number=Plur NOUN
atharrachadh atharraich _ NOUN
. . _ PUNCT

Air air _ ADP
feasgar feasgar Case=Dat|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
a-null a-null _ ADV
meadhan meadhan Case=Nom|Gender=Masc|Number=Sing NOUN
an an Case=Gen|Gender=Masc|Number=Sing DET
fhoghair foghair Case=Gen|Gender=Masc|Number=Sing NOUN
, , _ PUNCT
thàinig thig Tense=Past VERB
dithis dithis Case=Nom|Gender=Fem|Number=Sing NOUN
bhoireannach boireannach Case=Gen|Gender=Masc|Number=Plur NOUN
a-staigh a-staigh _ ADV
leotha le Number=Plur|Person=3 ADP
fhèin fhèin Reflex=Yes PRON
is is _ CCONJ
dh'iarr iarr Tense=Past VERB
iad iad Number=Plur|Person=3 PRON
deochan deoch Case=Nom|Gender=Fem|Number=Plur NOUN
neo-àbhaisteach neo-àbhaisteach Case=Nom|Gender=Fem|Number=Plur ADJ
, , _ PUNCT
a a PartType=Vb|PronType=Rel PART
chaidh rach Tense=Past VERB
a a PartType=Inf PART
chur cuir VerbForm=Inf NOUN
ann ann _ ADP
an an _ ADP
glainneachan glainneach Case=Dat|Gender=Fem|Number=Plur NOUN
àrda àrda Case=Dat|Gender=Fem|Number=Plur ADJ
, , _ PUNCT
aimhleathann aimhleathann Case=Dat|Gender=Fem|Number=Plur ADJ
nuair nuair _ SCONJ
a a PartType=Vb|PronType=Rel PART
thomhais tomhais Tense=Past VERB
an an Gender=Masc|Number=Sing DET
t-òstair òstair Case=Nom|Gender=Masc|Number=Sing NOUN
iad iad Number=Plur|Person=3 PRON
gu gu PartType=Ad PART
cùramach cùramach _ ADV
. . _ PUNCT

Bhruidhneadh bruidhn Mood=Cnd VERB
an an Gender=Fem|Number=Sing DET
tè tè Case=Nom|Gender=Fem|Number=Sing NOUN
a a PartType=Vb|PronType=Rel PART
b' is _ AUX
òige òg Degree=Cmp,Sup ADJ
dhiubh de Number=Plur|Person=3 ADP
faclan facal Case=Nom|Gender=Masc|Number=Plur NOUN
Gàidhlig gàidhlig Case=Gen|Gender=Fem|Number=Sing NOUN
is is _ CCONJ
Beurla beurla Case=Gen|Gender=Fem|Number=Sing NOUN
gu gu PartType=Ad PART
fileanta fileanta _ ADV
. . _ PUNCT

Thuirt abair Tense=Past VERB
an an Gender=Masc|Number=Sing DET
t-òstair òstair Case=Nom|Gender=Masc|Number=Sing NOUN
gu gu _ PART
robh bi Tense=Past VERB
cead cead Case=Nom|Gender=Masc|Number=Sing NOUN
aca aig Number=Plur|Person=3 ADP
suidhe suidh _ NOUN
far far _ SCONJ
an an Mood=Int|PartType=Vb|PronType=Int PART
togradh togr Mood=Cnd VERB
iad iad Number=Plur|Person=3 PRON
- - _ PUNCT
nach nach PartType=Cmpl|Polarity=Neg PART
robh bi Tense=Past VERB
àite àite Case=Nom|Gender=Masc|Number=Sing NOUN
air air _ PART
a a Gender=Masc|Number=Sing|Person=3 DET
thoirmeasg toirmisg VerbForm=Inf NOUN
. . _ PUNCT

Sgrùd sgrùd Tense=Past VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
a a PartType=Vb|PronType=Rel PART
bha bi Tense=Past VERB
an an _ ADP
làthair làthair Case=Dat|Gender=Fem|Number=Sing NOUN
is is _ CCONJ
thug toir Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
an an Gender=Fem|Number=Sing DET
aire aire Case=Nom|Gender=Fem|Number=Sing NOUN
do do _ ADP
shùilean sùil Case=Dat|Gender=Fem|Number=Plur NOUN
mear mear Case=Dat|Gender=Fem|Number=Plur ADJ
Iain Iain Case=Gen|Gender=Masc PROPN
, , _ PUNCT
ged ged _ SCONJ
a a PartType=Vb|PronType=Rel PART
b' is _ AUX
e e Gender=Masc|Number=Sing|Person=3 PRON
Tormod Tormod Case=Nom|Gender=Masc PROPN
a a PartType=Vb|PronType=Rel PART
thuirt abair Tense=Past VERB
